2026-06-06 10:43:21 | INFO    | __main__ | 启动 AIGC Multi-Agent Platform v0.1.0
INFO:     Started server process [33352]
INFO:     Waiting for application startup.
2026-06-06 10:48:05 | INFO    | graph.graph_builder | [Router] 内容质量通过 → 822 字，进入审核
2026-06-06 10:48:05 | INFO    | agents.base | [content_review] 开始执行
2026-06-06 10:48:07 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:48:07 | INFO    | agents.base | [content_review] 执行完成
2026-06-06 10:48:07 | INFO    | graph.graph_builder | [Router] 审核通过（8.0分），进入视频脚本生成
2026-06-06 10:48:07 | INFO    | agents.base | [video_script] 开始执行
2026-06-06 10:48:18 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:48:18 | INFO    | agents.base | [video_script] 执行完成
2026-06-06 10:48:18 | INFO    | graph.graph_builder | [Router] 脚本生成完成 → 11 个分镜，流水线结束
2026-06-06 10:48:18 | INFO    | api.routes.generate | [API] 工作流执行完成 task_id=T20260606024438885488dc338
2026-06-06 10:49:07 | WARNING | services.task_service | [TaskService] Redis 结果存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:49:56 | ERROR   | services.task_service | [TaskService] Redis 更新失败 task_id=T20260606024438885488dc338: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:49:56 | INFO    | services.task_service | [TaskService] 任务完成: T20260606024438885488dc338 result_length=1979
2026-06-06 10:49:56 | INFO    | api.routes.generate | [API] 请求完成 task_id=T20260606024438885488dc338 scenes=11 duration=210s
2026-06-06 10:50:53 | INFO    | api.routes.generate | [API] 收到生成请求 task_id=T20260606025053262ec5ea905 topic='Python入门...'
2026-06-06 10:51:42 | ERROR   | services.task_service | [TaskService] Redis 存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:51:42 | INFO    | services.task_service | [TaskService] 任务已创建: T20260606025053262ec5ea905 topic='Python入门...'
2026-06-06 10:52:31 | ERROR   | services.task_service | [TaskService] Redis 更新失败 task_id=T20260606025053262ec5ea905: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:52:31 | INFO    | services.task_service | [TaskService] 任务开始执行: T20260606025053262ec5ea905 agent=topic_analysis
2026-06-06 10:52:31 | INFO    | agents.topic_agent | [TopicAgent] 开始选题分析，topic='Python入门...'
2026-06-06 10:52:31 | INFO    | agents.topic_agent | [TopicAgent] 未配置 Tavily 客户端，跳过搜索增强
2026-06-06 10:52:34 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:52:34 | INFO    | agents.topic_agent | [TopicAgent] 选题分析完成 → score=8.5, sections=4
2026-06-06 10:52:34 | INFO    | graph.graph_builder | [Router] 选题评分 8.5 ≥ 6.0，进入内容生成
2026-06-06 10:52:34 | INFO    | agents.base | [content_generate] 开始执行
2026-06-06 10:52:42 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:52:42 | INFO    | agents.base | [content_generate] 执行完成
2026-06-06 10:52:42 | INFO    | graph.graph_builder | [Router] 内容质量通过 → 857 字，进入审核
2026-06-06 10:52:42 | INFO    | agents.base | [content_review] 开始执行
2026-06-06 10:52:44 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:52:44 | INFO    | agents.base | [content_review] 执行完成
2026-06-06 10:52:44 | INFO    | graph.graph_builder | [Router] 审核通过（8.0分），进入视频脚本生成
2026-06-06 10:52:44 | INFO    | agents.base | [video_script] 开始执行
2026-06-06 10:52:55 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:52:55 | INFO    | agents.base | [video_script] 执行完成
2026-06-06 10:52:55 | INFO    | graph.graph_builder | [Router] 脚本生成完成 → 11 个分镜，流水线结束
2026-06-06 10:52:55 | INFO    | api.routes.generate | [API] 工作流执行完成 task_id=T20260606025053262ec5ea905
2026-06-06 10:53:42 | WARNING | services.task_service | [TaskService] Redis 结果存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:54:32 | ERROR   | services.task_service | [TaskService] Redis 更新失败 task_id=T20260606025053262ec5ea905: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:54:32 | INFO    | services.task_service | [TaskService] 任务完成: T20260606025053262ec5ea905 result_length=2370
2026-06-06 10:54:32 | INFO    | api.routes.generate | [API] 请求完成 task_id=T20260606025053262ec5ea905 scenes=11 duration=210s
2026-06-06 10:54:52 | INFO    | api.routes.generate | [API] 收到生成请求 task_id=T20260606025452a06ecca7504 topic='AI入门...'
2026-06-06 10:55:40 | ERROR   | services.task_service | [TaskService] Redis 存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:55:40 | INFO    | services.task_service | [TaskService] 任务已创建: T20260606025452a06ecca7504 topic='AI入门...'
2026-06-06 10:56:30 | ERROR   | services.task_service | [TaskService] Redis 更新失败 task_id=T20260606025452a06ecca7504: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:56:30 | INFO    | services.task_service | [TaskService] 任务开始执行: T20260606025452a06ecca7504 agent=topic_analysis
2026-06-06 10:56:30 | INFO    | agents.topic_agent | [TopicAgent] 开始选题分析，topic='AI入门...'
2026-06-06 10:56:30 | INFO    | agents.topic_agent | [TopicAgent] 未配置 Tavily 客户端，跳过搜索增强
2026-06-06 10:56:34 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:56:34 | INFO    | agents.topic_agent | [TopicAgent] 选题分析完成 → score=8.0, sections=4
2026-06-06 10:56:34 | INFO    | graph.graph_builder | [Router] 选题评分 8.0 ≥ 6.0，进入内容生成
2026-06-06 10:56:34 | INFO    | agents.base | [content_generate] 开始执行
2026-06-06 10:56:45 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:56:45 | INFO    | agents.base | [content_generate] 执行完成
2026-06-06 10:56:45 | INFO    | graph.graph_builder | [Router] 内容质量通过 → 1023 字，进入审核
2026-06-06 10:56:45 | INFO    | agents.base | [content_review] 开始执行
2026-06-06 10:56:48 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:56:48 | INFO    | agents.base | [content_review] 执行完成
2026-06-06 10:56:48 | INFO    | graph.graph_builder | [Router] 审核通过（8.0分），进入视频脚本生成
2026-06-06 10:56:48 | INFO    | agents.base | [video_script] 开始执行
2026-06-06 10:57:03 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 10:57:03 | INFO    | agents.base | [video_script] 执行完成
2026-06-06 10:57:03 | INFO    | graph.graph_builder | [Router] 脚本生成完成 → 13 个分镜，流水线结束
2026-06-06 10:57:03 | INFO    | api.routes.generate | [API] 工作流执行完成 task_id=T20260606025452a06ecca7504
2026-06-06 10:57:51 | WARNING | services.task_service | [TaskService] Redis 结果存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:58:40 | ERROR   | services.task_service | [TaskService] Redis 更新失败 task_id=T20260606025452a06ecca7504: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 10:58:40 | INFO    | services.task_service | [TaskService] 任务完成: T20260606025452a06ecca7504 result_length=2481
2026-06-06 10:58:40 | INFO    | api.routes.generate | [API] 请求完成 task_id=T20260606025452a06ecca7504 scenes=13 duration=300s
2026-06-06 11:03:21 | INFO    | api.routes.generate | [API] 收到生成请求 task_id=T20260606030321dd0e4f17836 topic='Python是什么...'
2026-06-06 11:04:10 | ERROR   | services.task_service | [TaskService] Redis 存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 11:04:10 | INFO    | services.task_service | [TaskService] 任务已创建: T20260606030321dd0e4f17836 topic='Python是什么...'
2026-06-06 11:04:58 | ERROR   | services.task_service | [TaskService] Redis 更新失败 task_id=T20260606030321dd0e4f17836: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 11:04:58 | INFO    | services.task_service | [TaskService] 任务开始执行: T20260606030321dd0e4f17836 agent=topic_analysis
2026-06-06 11:04:58 | INFO    | agents.topic_agent | [TopicAgent] 开始选题分析，topic='Python是什么...'
2026-06-06 11:04:58 | INFO    | agents.topic_agent | [TopicAgent] 未配置 Tavily 客户端，跳过搜索增强
2026-06-06 11:05:03 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 11:05:03 | INFO    | agents.topic_agent | [TopicAgent] 选题分析完成 → score=8.5, sections=4
2026-06-06 11:05:03 | INFO    | graph.graph_builder | [Router] 选题评分 8.5 ≥ 6.0，进入内容生成
2026-06-06 11:05:03 | INFO    | agents.base | [content_generate] 开始执行
2026-06-06 11:05:16 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 11:05:16 | INFO    | agents.base | [content_generate] 执行完成
2026-06-06 11:05:16 | INFO    | graph.graph_builder | [Router] 内容质量通过 → 1174 字，进入审核
